Id,log_bike_count
0,0.25592595
1,1.5461224
2,2.0355132
3,0.5785458
4,0.51885426
5,0.42300874
6,0.19316646
7,0.56192845
8,0.44491574
9,1.152304
10,1.1584703
11,1.4011132
12,1.5512226
13,1.1487765
14,0.6646654
15,0.5131963
16,0.5934141
17,0.69440407
18,0.6625551
19,1.046354
20,1.4832021
21,0.5457597
22,0.9773646
23,0.6862683
24,0.574531
25,1.3791827
26,0.053091064
27,1.8310943
28,1.6469766
29,1.4940566
30,0.51715726
31,1.6752152
32,0.09784499
33,0.6197196
34,1.4528424
35,0.45813578
36,1.4408429
37,0.5561259
38,0.40019736
39,1.0325572
40,2.055994
41,1.3846786
42,1.4379615
43,1.6282257
44,0.44380096
45,1.595141
46,1.2181087
47,1.650652
48,1.5841014
49,0.59562033
50,1.4033544
51,0.59031534
52,2.1779537
53,1.2058291
54,2.3336058
55,1.3176495
56,1.6419761
57,1.3234718
58,0.89554083
59,1.6475599
60,1.0072416
61,1.3739501
62,0.14467898
63,0.47518876
64,0.21867703
65,0.37613928
66,0.5778961
67,0.30858395
68,1.6478996
69,1.150474
70,1.8575848
71,1.9865804
72,1.9044958
73,1.3033378
74,1.8192614
75,1.6070341
76,0.7827753
77,1.5339264
78,0.3876501
79,1.5946591
80,1.8746476
81,1.7615641
82,1.7762296
83,0.9724621
84,2.254259
85,0.52992207
86,1.5687584
87,0.14825268
88,0.2693769
89,0.34143025
90,1.0295466
91,0.26594612
92,2.0335357
93,1.912905
94,1.8571904
95,1.4404337
96,1.5327625
97,2.0895836
98,1.5526277
99,2.125321
100,1.592721
101,1.6146243
102,1.7118628
103,0.3862969
104,2.0629323
105,1.5973191
106,0.15040337
107,2.2330582
108,0.4318372
109,0.4323151
110,0.18755129
111,0.39748845
112,0.5088651
113,0.34199455
114,0.95068425
115,0.34485686
116,1.2289965
117,1.8377806
118,1.2290366
119,1.7794818
120,1.040958
121,1.4520866
122,0.38344318
123,1.4689683
124,0.3459816
125,1.3931774
126,0.25134987
127,1.5996529
128,0.7004407
129,0.67174935
130,0.94179296
131,0.26109037
132,1.2228789
133,0.16080539
134,-0.0980059
135,1.4868973
136,-0.059983652
137,1.8602357
138,0.16240245
139,1.8121223
140,1.4548047
141,0.7538194
142,1.1557223
143,0.58923364
144,2.0497205
145,0.63326997
146,1.5063481
147,0.6730371
148,0.9854469
149,0.36681923
150,1.104063
151,0.328516
152,1.9875394
153,1.5532694
154,1.4069917
155,1.6898917
156,1.3909336
157,0.6806884
158,1.4801357
159,0.4553934
160,2.0026972
161,0.318822
162,1.0624826
163,0.24116255
164,0.7582586
165,0.16195047
166,0.4334455
167,0.22458729
168,1.5783527
169,1.2232527
170,1.4739271
171,2.0418677
172,1.5309169
173,2.2413845
174,2.2184672
175,1.1351503
176,1.0007368
177,0.6837343
178,0.78519285
179,0.67392224
180,1.0005221
181,0.9380995
182,0.97553676
183,0.32523
184,0.31605536
185,0.2955526
186,0.35730472
187,0.93669784
188,0.25464454
189,1.1893694
190,2.0731444
191,1.3363076
192,1.3763577
193,1.2367986
194,1.4032733
195,1.2287365
196,1.9866433
197,0.99365836
198,1.9816873
199,0.70896775
200,0.83160555
201,0.4672245
202,0.6857742
203,0.59046674
204,0.39974204
205,1.1176591
206,0.33058408
207,0.32445133
208,0.3188289
209,0.06765222
210,1.4768779
211,0.8024568
212,1.5434173
213,1.033076
214,1.4418912
215,1.2285496
216,1.5712962
217,0.10943482
218,1.9340459
219,1.3742158
220,1.31311
221,1.3770715
222,0.64350617
223,1.3851229
224,0.51029
225,1.9372069
226,0.8110917
227,1.9006088
228,1.1079881
229,0.51088053
230,1.2498951
231,0.07752455
232,1.1788328
233,0.15743193
234,1.2005255
235,0.84134847
236,0.5148305
237,1.8837633
238,0.48714927
239,1.3827509
240,0.8811849
241,1.427759
242,0.92524654
243,0.6344002
244,1.0556055
245,0.45803604
246,1.074882
247,0.10494072
248,0.81783324
249,0.2163985
250,0.541967
251,0.9568584
252,0.36335725
253,1.5775154
254,0.048522197
255,2.1146238
256,0.19030651
257,0.22947456
258,0.14247699
259,2.0103395
260,0.1687717
261,1.4351813
262,1.0923607
263,1.4017857
264,2.0049171
265,1.4277197
266,1.4607462
267,0.8993832
268,1.5519098
269,0.78141516
270,1.6547765
271,0.86339504
272,1.5283569
273,0.39325395
274,2.269785
275,0.3060568
276,0.9861401
277,1.2219119
278,0.12903135
279,1.9391077
280,0.30097753
281,1.4416664
282,1.322799
283,1.8680656
284,2.1884477
285,0.82193315
286,1.3782207
287,0.31387782
288,1.3569567
289,0.5095507
290,0.9904757
291,0.44891018
292,0.7331501
293,1.1579809
294,0.24460816
295,1.1951467
296,0.28559923
297,1.2280288
298,0.16107763
299,1.1680773
300,1.9733671
301,1.2689121
302,1.5152686
303,0.99533606
304,1.6747966
305,0.36604133
306,1.607378
307,0.5621152
308,1.6498003
309,1.2337115
310,2.2080734
311,0.43284306
312,2.228263
313,0.44514036
314,0.4199329
315,0.93758035
316,0.3181113
317,1.0969172
318,1.0054737
