Id,log_bike_count
0,0.2643697
1,1.5885755
2,2.0725727
3,0.8272772
4,0.77220887
5,0.71487284
6,0.42751566
7,0.72992814
8,0.66435087
9,1.2110953
10,1.1348008
11,1.4957389
12,1.523204
13,1.2268629
14,0.69141823
15,0.69661283
16,0.5514512
17,0.48998246
18,0.5738277
19,1.0229489
20,1.4889439
21,0.5259033
22,0.6827287
23,0.5546375
24,0.5417604
25,1.5630128
26,-0.0032007569
27,1.9769055
28,1.5896753
29,1.5853076
30,0.7239298
31,1.7785335
32,0.28116217
33,0.7124356
34,1.5122678
35,0.56432
36,1.5772958
37,0.81203943
38,0.7816382
39,1.2576092
40,1.9906989
41,1.2321467
42,1.3144802
43,1.5669742
44,0.42065945
45,1.5495552
46,1.4422194
47,1.6335813
48,1.5894752
49,0.46267915
50,1.5030764
51,0.4496946
52,2.0811555
53,1.2109504
54,2.3025599
55,1.3602825
56,1.4412919
57,1.3864634
58,0.20106228
59,1.6567366
60,0.40788937
61,1.271448
62,0.35820895
63,0.5554493
64,0.5529262
65,0.4008826
66,1.5641935
67,0.31936312
68,1.593926
69,1.1484057
70,1.5568975
71,2.338298
72,1.5767708
73,1.5792154
74,1.5544286
75,1.5653554
76,0.6470999
77,1.560009
78,0.36060023
79,1.5390548
80,2.061291
81,1.7115566
82,1.5837268
83,0.6418839
84,2.125598
85,0.4619343
86,1.4119029
87,0.23670232
88,0.2426966
89,0.45133665
90,0.52920943
91,0.50638473
92,1.5893995
93,2.2025654
94,1.546099
95,1.56045
96,1.3983392
97,2.222516
98,1.3836362
99,2.3267353
100,1.3905615
101,1.5011475
102,1.6405554
103,0.572694
104,1.8300261
105,1.4565699
106,0.2765546
107,2.2100704
108,0.30284414
109,0.11642583
110,0.37667495
111,0.23727447
112,0.5033371
113,0.13074687
114,0.99833035
115,0.32213524
116,1.2653966
117,2.1349087
118,1.3526447
119,2.1143558
120,1.0598675
121,1.4634169
122,0.41619068
123,1.5328074
124,0.31821215
125,1.5254186
126,0.47281703
127,1.6322292
128,1.1913978
129,0.55067694
130,1.0817629
131,0.2108976
132,0.38051665
133,0.2569514
134,0.19862692
135,2.237789
136,0.06642129
137,1.630646
138,0.46492085
139,1.5738357
140,1.9106665
141,0.7477709
142,1.2093823
143,0.29650596
144,2.1130774
145,0.35351637
146,1.3185151
147,0.3953879
148,0.45900086
149,0.17051038
150,1.0511059
151,0.71501726
152,2.0259361
153,1.5697258
154,1.494152
155,1.6593949
156,1.4607273
157,0.76701844
158,1.6097648
159,0.2903979
160,2.2706559
161,0.3587781
162,1.4043616
163,0.19700417
164,0.83918285
165,0.1929612
166,0.41111535
167,0.30806318
168,1.4967558
169,1.1831336
170,1.5055698
171,2.0728726
172,1.4896982
173,2.1652246
174,2.1418166
175,0.7602402
176,0.8215744
177,0.5698002
178,0.5224786
179,0.5593518
180,0.74743694
181,0.8120045
182,0.6479642
183,0.2859723
184,0.1563626
185,0.31773752
186,0.20930718
187,1.0242635
188,0.58947015
189,1.2379793
190,2.1671312
191,1.2335258
192,1.5527852
193,1.2629676
194,1.5501132
195,1.3250588
196,2.3633435
197,0.91706663
198,2.204843
199,0.55770206
200,0.8398171
201,0.5378582
202,0.70047504
203,0.6258612
204,0.20309377
205,1.0348396
206,0.505321
207,0.3623795
208,0.68090504
209,0.31094214
210,1.5594038
211,1.2367713
212,1.6298373
213,1.3170066
214,1.6131631
215,1.3450325
216,1.7754613
217,0.08759572
218,2.2679
219,1.7466495
220,1.355107
221,1.2458228
222,0.5165324
223,1.3163844
224,0.5161502
225,1.939114
226,0.70071095
227,2.0307052
228,0.8919642
229,0.04243624
230,1.0550597
231,0.09940374
232,1.3227521
233,0.38233107
234,1.2370821
235,0.49351463
236,0.4649783
237,1.9390916
238,0.26836443
239,1.4695413
240,1.1191744
241,1.4380878
242,1.2652769
243,0.6392659
244,1.3331016
245,0.47306633
246,1.1371802
247,0.16877303
248,0.9634536
249,0.09457637
250,0.39512873
251,1.1321737
252,0.3059914
253,1.9775444
254,0.08799898
255,2.0514674
256,-0.02010262
257,0.48268053
258,0.4265831
259,2.2215734
260,0.25619936
261,1.6221637
262,0.9934515
263,1.581258
264,2.1158931
265,1.5742004
266,1.4840767
267,0.712107
268,1.382092
269,0.53096217
270,1.5411117
271,0.70541704
272,1.5229768
273,0.36125314
274,2.2873852
275,0.25801963
276,0.74473685
277,1.3040607
278,0.08908839
279,1.9609914
280,0.1556718
281,1.5779254
282,1.335082
283,1.998209
284,2.063205
285,0.77000725
286,1.5155382
287,0.370025
288,1.5084805
289,0.52511907
290,0.5995703
291,0.47370687
292,0.722426
293,1.3227521
294,0.2922314
295,1.3568879
296,0.12940979
297,1.346326
298,0.45081785
299,1.364912
300,2.1724682
301,1.3619856
302,1.532158
303,1.1016722
304,1.540972
305,0.55685884
306,1.5251004
307,0.5071362
308,1.6701117
309,1.0849395
310,2.0773973
311,0.3023944
312,2.3321445
313,0.40142235
314,0.21293955
315,1.1893107
316,0.38992426
317,1.3245912
318,1.3224423
319,0.45236748
320,2.15816
321,0.74855316
322,2.0722282
323,-0.07520186
324,1.5864993
325,1.5285373
326,1.5446669
327,1.5341429
328,2.0969641
329,2.1960475
330,2.1696732
331,0.46614623
332,0.82596886
333,2.122658
334,0.49771982
335,1.6534919
336,0.2691658
337,2.0894005
338,1.5227671
339,2.305791
340,1.5696012
341,1.3763212
342,1.5826572
343,0.89079565
344,1.9982816
345,0.82856137
346,0.82699287
347,0.525349
348,1.0446937
349,0.18637723
350,1.1197609
351,1.3280019
352,1.2930971
353,2.1725402
354,1.266533
355,1.3436201
356,0.63344336
357,0.8380314
358,0.68830734
359,0.15597212
360,0.37855008
361,1.5127168
362,0.3935386
363,1.5455937
364,0.86142373
365,1.5544077
366,1.1909019
367,1.6896782
368,1.239575
369,2.3432407
370,1.3271723
371,1.3492236
372,0.47517428
373,0.85531926
374,1.4964243
375,0.5358164
376,1.5214784
377,0.84498745
378,2.1602652
379,0.49714553
380,0.7758461
381,0.520192
382,0.48152915
383,0.43414488
384,1.3866223
385,2.0148172
386,1.5424167
387,1.5784152
388,1.7275434
389,2.1020045
390,2.2467327
391,1.3374932
392,0.6199741
393,0.5124643
394,0.51502436
395,0.50127536
396,0.81301963
397,1.2020516
398,1.1430565
399,0.473503
400,0.7233327
401,0.45409337
402,0.25412756
403,1.0485164
404,1.1122062
405,1.1909019
406,1.2934514
407,1.4375912
408,1.1378757
409,0.9919829
410,0.34252757
411,-0.14434625
412,-0.21786988
413,0.42171517
414,0.23301974
415,0.98278505
416,0.31765285
417,2.0041735
418,1.5860364
419,1.5443109
420,1.6178919
421,1.5941216
422,2.189069
423,2.3929765
424,1.4155452
425,0.5566798
426,1.1371313
427,1.4549751
428,1.4957389
429,1.5472085
430,0.7569648
431,0.818481
432,0.39775032
433,0.58947736
434,0.48053655
435,0.8691706
436,1.2842342
437,1.3602825
438,1.4804335
439,1.444227
440,0.5577249
441,0.56203127
442,0.19415568
443,0.05189851
444,2.284799
445,1.4210616
446,2.2891755
447,2.5039184
448,2.3771307
449,1.4722267
450,0.7265904
451,0.5604851
452,0.18051909
453,1.6249098
454,2.31579
455,1.6179987
456,1.6270438
457,1.5861098
458,1.7505331
459,2.447049
460,0.7780209
461,2.1160963
462,0.5101795
463,0.4395846
464,0.59179914
465,0.02663715
466,0.17877701
467,1.5044322
468,2.216084
469,0.67998827
470,0.40337187
471,0.41637337
472,2.1814418
473,1.6835814
474,2.0889058
475,2.344829
476,2.2077396
477,1.435523
478,0.4309021
479,0.15126397
480,1.5353545
481,2.2002006
482,1.6055343
483,1.5749128
484,1.5675154
485,1.6966681
486,2.1019924
487,2.3738406
488,0.6484235
489,0.38773865
490,1.4358454
491,1.4072356
492,1.3924502
493,1.1300207
494,0.60387635
495,0.903125
496,1.0717348
497,1.2386509
498,0.46369854
499,0.34569722
500,0.28366095
501,0.28143337
502,0.95007074
503,1.1108983
504,1.1745881
505,1.2157811
506,1.4414732
507,0.90876293
508,0.22245297
509,0.52708614
510,0.63178265
511,0.71412677
512,0.35880503
513,0.71167964
514,1.1965599
515,1.3271896
516,1.3610553
517,1.4612265
518,0.6036167
519,0.2038493
520,0.41468364
521,0.27082708
522,0.037325606
523,1.4608722
524,1.394445
525,2.0525763
526,2.1896896
527,0.5056609
528,0.7638039
529,0.14752105
530,0.5077393
531,2.1297014
532,1.4902968
533,1.4758004
534,1.5376614
535,1.6613752
536,2.2918508
537,1.3740109
538,0.6938642
539,0.3660219
540,1.2968323
541,1.590072
542,1.7458774
543,2.1531627
544,1.4037112
545,1.9374436
546,1.6062379
547,1.6150519
548,2.1592677
549,0.9018433
550,0.62132937
551,0.9011953
552,0.44676986
553,1.1319783
554,1.1482295
555,1.3082514
556,0.72914994
557,0.6863136
558,0.4055115
559,0.32249427
560,0.37832165
561,0.44801682
562,0.94768125
563,1.239096
564,1.239096
565,1.4460195
566,0.44534755
567,2.1449652
568,1.6504067
569,2.4059303
570,1.424994
571,0.7098891
572,0.30294833
573,0.27160951
574,0.16479579
575,0.46905702
576,0.44097003
577,1.5347742
578,1.4511193
579,1.5563014
580,1.5243522
581,2.20398
582,0.48641577
583,2.0792747
584,1.5346879
585,1.499281
586,1.5730636
587,0.8419277
588,0.54519016
589,0.5508853
590,0.82856196
591,0.45895493
592,0.4863129
593,1.4939624
594,0.2064839
595,1.8798707
596,1.5932006
597,0.9293255
598,0.744412
599,0.31823865
600,0.34254137
601,0.52378553
602,0.89649355
603,0.91894466
604,1.2374412
605,1.265632
606,1.265632
607,1.313935
608,0.9846031
609,0.62998813
610,0.2700297
611,0.21911119
612,0.37791297
613,0.3812274
614,0.31200638
615,0.30531743
616,0.21431123
617,-0.27082905
618,2.1412106
619,2.1188014
620,1.4690175
621,1.3097439
622,1.5094395
623,1.5103123
624,1.6377423
625,2.3492973
626,2.2548316
627,1.4328257
628,0.7842121
629,1.4411961
630,2.2485356
631,3.7372067
632,4.2267547
633,4.2702975
634,4.0118937
635,4.014833
636,3.849684
637,3.292588
638,2.1646938
639,2.1968563
640,2.6685927
641,3.196135
642,3.7314348
643,4.5132127
644,4.2180724
645,3.2778406
646,3.2380764
647,4.0416837
648,4.1911745
649,4.4639273
650,1.3654053
651,4.810755
652,4.727847
653,4.108918
654,5.3985443
655,3.1565464
656,1.855878
657,1.1582476
658,3.8345833
659,4.7462277
660,4.374432
661,5.4084744
662,4.2112365
663,3.9516368
664,5.139572
665,3.8049178
666,1.2723918
667,4.001824
668,4.735945
669,4.515932
670,3.67004
671,4.5416536
672,3.8135223
673,4.101862
674,4.298826
675,4.590505
676,4.063104
677,3.731235
678,1.366724
679,3.6690521
680,1.6452249
681,4.502362
682,4.4860597
683,5.304718
684,4.0246634
685,5.2372875
686,4.4851127
687,3.7991254
688,4.9803705
689,3.3510182
690,5.16017
691,2.531413
692,4.7388225
693,4.122073
694,4.214824
695,3.7826166
696,3.4695208
697,3.752097
698,2.5634484
699,4.0369444
700,4.1133943
701,4.6523814
702,4.109287
703,3.3561194
704,4.14383
705,2.7078917
706,4.283982
707,2.6066554
708,4.5015697
709,1.9661672
710,3.8926625
711,1.5711306
712,3.4559374
713,1.7071372
714,3.5937667
715,2.0549262
716,4.037576
717,2.804348
718,3.4429705
719,3.1895194
720,2.955257
721,3.6021285
722,2.1076016
723,3.8203366
724,1.6598494
725,3.8350024
726,0.9881712
727,3.9081376
728,3.9760985
729,3.9223497
730,3.7945888
731,3.3604493
732,4.1077976
733,2.0489664
734,4.32512
735,1.2993923
736,4.708831
737,1.5307733
738,3.7922103
739,3.6617744
740,1.3906517
741,3.8376362
742,1.4768239
743,3.848194
744,4.657762
745,3.8625793
746,3.895249
747,3.901587
748,4.165726
749,4.1922603
750,4.1629357
751,3.722223
752,4.1571097
753,3.1169422
754,4.9194317
755,1.8399748
756,3.9921908
757,0.9623495
758,4.152837
759,1.7035562
760,4.7220573
761,3.4834547
762,4.492887
763,4.36062
764,3.3671777
765,4.3491178
766,3.170303
767,3.8645911
768,1.1887368
769,4.528443
770,0.972161
771,5.057018
772,1.9299394
773,2.3719919
774,4.526095
775,1.6076086
776,3.9616034
777,0.95101136
778,3.9828308
779,4.4500194
780,5.218648
781,3.8276203
782,3.950683
783,3.9826622
784,3.5421333
785,2.8730352
786,3.048209
787,4.462339
788,2.2514849
789,3.8418298
790,1.7157279
791,4.04811
792,1.2090268
793,4.0732865
794,0.9971176
795,4.724395
796,1.331784
797,5.157808
798,4.5062556
799,3.406586
800,4.0837407
801,2.995476
802,4.110532
803,1.6198884
804,4.0993533
805,4.5795217
806,5.2577705
807,4.12414
808,3.8063474
809,4.30646
810,1.1703811
811,2.2549596
812,1.493682
813,1.8216748
